                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 0.5269,                0.44842,                 1.0404,                0.82278,                0.78333,                0.84311,                 0.5659,                 1.1737,                 1.2187,                 1.8057,              0.0047035,              0.0047035,              0.0047035
                    109,                0.55175,                 0.4887,                 1.0767,                0.89064,                0.73333,                0.86062,                0.58072,                 1.1929,                  1.049,                 1.9122,               0.004654,               0.004654,               0.004654
                    110,                0.54944,                 0.4954,                 1.0635,                0.80272,                0.83367,                0.84965,                0.57322,                 1.1914,                 1.1242,                 1.8926,              0.0046045,              0.0046045,              0.0046045
                    111,                 0.5106,                0.42838,                 1.0295,                0.74877,                0.83889,                0.84179,                0.57679,                  1.216,                 1.1704,                 1.8483,               0.004555,               0.004555,               0.004555
                    112,                0.52145,                0.42384,                 1.0145,                0.81689,                0.78333,                0.85235,                0.56646,                 1.2239,                 1.0811,                 1.8786,              0.0045055,              0.0045055,              0.0045055
                    113,                0.49291,                0.43784,                 1.0102,                0.77404,                0.93921,                0.94982,                0.59912,                 1.3258,                0.93011,                 1.9362,               0.004456,               0.004456,               0.004456
                    114,                0.50818,                0.41663,                 1.0022,                0.89172,                0.82654,                 0.9502,                0.64646,                 1.1486,                0.76608,                 1.7032,              0.0044065,              0.0044065,              0.0044065
                    115,                0.50153,                0.42938,                 1.0327,                0.94991,                0.94318,                0.97125,                0.66218,                 1.0968,                0.67898,                 1.6624,               0.004357,               0.004357,               0.004357
                    116,                0.49778,                0.45129,                 1.0393,                0.93738,                0.89444,                0.96391,                0.66735,                 1.2323,                0.71481,                 1.7311,              0.0043075,              0.0043075,              0.0043075
                    117,                0.47582,                0.42707,                 1.0163,                0.92955,                0.84444,                0.96125,                0.65301,                 1.2635,                0.71077,                 1.7414,               0.004258,               0.004258,               0.004258
                    118,                0.45499,                0.38406,                 0.9931,                0.90632,                0.84444,                0.93181,                0.63618,                 1.0752,                0.71478,                 1.5551,              0.0042085,              0.0042085,              0.0042085
                    119,                0.54639,                 0.4646,                 1.0457,                0.82624,                0.84444,                0.89855,                0.61648,                 1.0589,                0.73472,                 1.5639,               0.004159,               0.004159,               0.004159
